protein,vaccine_variant_match,vaccine_serotype_match,max_similarity
1,1,1,100.0
10,10,3,100.0
100,60,6,74.93283160245507
101,62,6,72.81635253110865
102,7,2,69.62968051829372
103,1,1,84.01547841945981
104,74,2,77.55933756047398
105,69,3,77.07846275845301
106,73,3,68.4687605112616
107,15,5,67.90601756200394
108,58,3,84.34352512461162
109,69,3,84.59731338490714
11,11,3,100.0
110,74,2,88.60646568631677
111,95,3,57.50849431987921
112,65,2,80.75037283195257
113,61,2,70.5268089421209
114,61,2,83.54850097402937
115,62,6,72.62190625623458
116,48,1,49.677697343510786
117,73,3,88.91728000244912
118,118,3,100.0
12,12,4,100.0
13,13,5,100.0
14,14,5,100.0
15,15,5,100.0
16,16,5,100.0
17,17,5,100.0
18,18,6,100.0
19,19,6,100.0
2,2,1,100.0
20,20,6,100.0
21,21,6,100.0
22,118,3,90.5453327375249
23,84,5,86.95141225918009
24,64,3,50.27268943400638
25,84,5,85.60539107685644
26,16,5,83.70767593754562
27,92,3,71.82332719113069
28,15,5,67.99564534817915
29,13,5,82.71160043074846
3,3,1,100.0
30,16,5,84.32554840158883
31,70,5,84.3831137372031
32,18,6,93.40095480269096
33,65,2,77.53961380755409
34,18,6,93.40095480269096
35,38,3,85.85988659487208
36,13,5,100.0
37,69,3,75.32946595011127
38,38,3,100.0
39,39,3,100.0
4,4,1,100.0
40,61,2,94.53581279650514
41,69,3,82.81836892188835
42,7,2,67.58365733174972
43,61,2,74.6614142033914
44,7,2,79.91935625744652
45,74,2,84.578182249295
46,13,5,89.19885263924812
47,62,6,72.81635253110865
48,48,1,100.0
49,65,2,78.36627996237053
5,5,1,100.0
50,1,1,83.12485432144156
51,12,4,75.33721894781836
52,73,3,62.20655485294107
53,73,3,62.20655485294107
54,12,4,82.30602849947715
55,73,3,66.54537511505995
56,73,3,66.54537511505995
57,1,1,76.75030781548091
58,58,3,100.0
59,59,5,100.0
6,6,1,100.0
60,60,6,100.0
61,61,2,100.0
62,62,6,100.0
63,63,1,100.0
64,64,3,100.0
65,65,2,100.0
66,16,5,84.32554840158883
67,84,5,85.60539107685644
68,6,1,66.50032107852395
69,69,3,100.0
7,7,2,100.0
70,70,5,100.0
71,16,5,86.22158037586745
72,65,2,85.4815098705358
73,73,3,100.0
74,74,2,100.0
75,75,1,100.0
76,76,1,100.0
77,6,1,64.29448550334416
78,12,4,86.98922303334898
79,79,6,100.0
8,8,2,100.0
80,80,3,100.0
81,81,6,100.0
82,73,3,62.20655485294107
83,83,6,100.0
84,84,5,100.0
85,73,3,63.6124408285107
86,95,3,57.50849431987921
87,1,1,85.53389848719966
88,38,3,90.5844582117438
89,89,6,100.0
9,9,3,100.0
90,73,3,88.36978315281654
91,15,5,56.90512610391472
92,92,3,100.0
93,93,3,100.0
94,94,3,100.0
95,95,3,100.0
96,18,6,93.40095480269096
97,97,2,100.0
98,98,6,100.0
99,1,1,79.65279354957224
